"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss__MAX","exp_arch_001_resnet50 - train/loss","exp_arch_001_resnet50 - train/loss__MIN","exp_arch_001_resnet50 - train/loss__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/loss","exp_arch_009_efficientnet_b0_sapbert256 - train/loss__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/loss__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss__MAX"
"40","7.629611748236197","7.629611748236197","7.629611748236197","","","","","","","","","","","","","4.175249897403481","4.175249897403481","4.175249897403481","","","","","","","","","","","",""
"44","7.511649651782503","7.511649651782503","7.511649651782503","","","","","","","","","","","","","4.154545975320133","4.154545975320133","4.154545975320133","","","","","","","","","","","",""
"48","7.410230064588319","7.410230064588319","7.410230064588319","","","","","","","","","","","","","4.118183042777418","4.118183042777418","4.118183042777418","","","","","","","","","","","",""
"52","7.274619856979621","7.274619856979621","7.274619856979621","","","","","","","","","","","","","4.08471930321352","4.08471930321352","4.08471930321352","","","","","","","","","","","",""
"56","7.233090666586479","7.233090666586479","7.233090666586479","","","","","","","","","","","","","4.058467880198004","4.058467880198004","4.058467880198004","","","","","","","","","","","",""
"60","7.133434306446907","7.133434306446907","7.133434306446907","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","7.051868130640728","7.051868130640728","7.051868130640728","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","6.956319960056509","6.956319960056509","6.956319960056509","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","6.932352827900231","6.932352827900231","6.932352827900231","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","6.8619512658060335","6.8619512658060335","6.8619512658060335","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","6.8423723350336525","6.8423723350336525","6.8423723350336525","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","6.811118079801646","6.811118079801646","6.811118079801646","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","6.759219960420711","6.759219960420711","6.759219960420711","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","6.755221903569414","6.755221903569414","6.755221903569414","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","6.741854013238915","6.741854013238915","6.741854013238915","","","","","","","","","","","","","","","","","","","","","","","","","","",""
