"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1__MAX","exp_arch_001_resnet50 - train/f1","exp_arch_001_resnet50 - train/f1__MIN","exp_arch_001_resnet50 - train/f1__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/f1","exp_arch_009_efficientnet_b0_sapbert256 - train/f1__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/f1__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1__MAX"
"40","0.34554903276556476","0.34554903276556476","0.34554903276556476","","","","","","","","","","","","","0.5703198763090849","0.5703198763090849","0.5703198763090849","","","","","","","","","","","",""
"44","0.35931125381440304","0.35931125381440304","0.35931125381440304","","","","","","","","","","","","","0.5821352172352778","0.5821352172352778","0.5821352172352778","","","","","","","","","","","",""
"48","0.3737168795403808","0.3737168795403808","0.3737168795403808","","","","","","","","","","","","","0.5927477438853312","0.5927477438853312","0.5927477438853312","","","","","","","","","","","",""
"52","0.394671945927422","0.394671945927422","0.394671945927422","","","","","","","","","","","","","0.6003508537944736","0.6003508537944736","0.6003508537944736","","","","","","","","","","","",""
"56","0.40983258298835923","0.40983258298835923","0.40983258298835923","","","","","","","","","","","","","0.6117177275663479","0.6117177275663479","0.6117177275663479","","","","","","","","","","","",""
"60","0.4271352161431645","0.4271352161431645","0.4271352161431645","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.4420352245266487","0.4420352245266487","0.4420352245266487","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.4579448686061693","0.4579448686061693","0.4579448686061693","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.4704303026645132","0.4704303026645132","0.4704303026645132","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.4852251156580598","0.4852251156580598","0.4852251156580598","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.4918301811409716","0.4918301811409716","0.4918301811409716","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.5025564048532383","0.5025564048532383","0.5025564048532383","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.5143726667267057","0.5143726667267057","0.5143726667267057","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.5173906996350537","0.5173906996350537","0.5173906996350537","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.523050100021695","0.523050100021695","0.523050100021695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
