"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss__MAX","exp_arch_001_resnet50 - val/loss","exp_arch_001_resnet50 - val/loss__MIN","exp_arch_001_resnet50 - val/loss__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss__MAX","exp_arch_009_efficientnet_b0_sapbert256 - val/loss","exp_arch_009_efficientnet_b0_sapbert256 - val/loss__MIN","exp_arch_009_efficientnet_b0_sapbert256 - val/loss__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss__MAX"
"43","7.590595362616367","7.590595362616367","7.590595362616367","","","","","","","","","","","","","4.2865872265862635","4.2865872265862635","4.2865872265862635","","","","","","","","","","","",""
"47","7.579387070702725","7.579387070702725","7.579387070702725","","","","","","","","","","","","","4.301529274612177","4.301529274612177","4.301529274612177","","","","","","","","","","","",""
"51","7.589637029366415","7.589637029366415","7.589637029366415","","","","","","","","","","","","","4.260706807746262","4.260706807746262","4.260706807746262","","","","","","","","","","","",""
"55","7.569303106089107","7.569303106089107","7.569303106089107","","","","","","","","","","","","","4.258037117661023","4.258037117661023","4.258037117661023","","","","","","","","","","","",""
"59","7.5643724535332355","7.5643724535332355","7.5643724535332355","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","7.569306240707148","7.569306240707148","7.569306240707148","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","7.561126146160189","7.561126146160189","7.561126146160189","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","7.575087562936251","7.575087562936251","7.575087562936251","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","7.571450874453685","7.571450874453685","7.571450874453685","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","7.57281226017436","7.57281226017436","7.57281226017436","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","7.56219274489606","7.56219274489606","7.56219274489606","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","7.5510976900819875","7.5510976900819875","7.5510976900819875","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","7.550535991543629","7.550535991543629","7.550535991543629","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","7.543013643045894","7.543013643045894","7.543013643045894","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","7.54658878045004","7.54658878045004","7.54658878045004","","","","","","","","","","","","","","","","","","","","","","","","","","",""
