"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1__MAX","exp_arch_001_resnet50 - val/f1","exp_arch_001_resnet50 - val/f1__MIN","exp_arch_001_resnet50 - val/f1__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1__MAX","exp_arch_009_efficientnet_b0_sapbert256 - val/f1","exp_arch_009_efficientnet_b0_sapbert256 - val/f1__MIN","exp_arch_009_efficientnet_b0_sapbert256 - val/f1__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1__MAX"
"43","0.5190340498591859","0.5190340498591859","0.5190340498591859","","","","","","","","","","","","","0.5872227944175319","0.5872227944175319","0.5872227944175319","","","","","","","","","","","",""
"47","0.52247119074291","0.52247119074291","0.52247119074291","","","","","","","","","","","","","0.5910973422741506","0.5910973422741506","0.5910973422741506","","","","","","","","","","","",""
"51","0.5243976296447876","0.5243976296447876","0.5243976296447876","","","","","","","","","","","","","0.6042979048301094","0.6042979048301094","0.6042979048301094","","","","","","","","","","","",""
"55","0.5334293548860957","0.5334293548860957","0.5334293548860957","","","","","","","","","","","","","0.604838890199376","0.604838890199376","0.604838890199376","","","","","","","","","","","",""
"59","0.5581699595204175","0.5581699595204175","0.5581699595204175","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.5544107582088482","0.5544107582088482","0.5544107582088482","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.5531706454899332","0.5531706454899332","0.5531706454899332","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.5675002517024174","0.5675002517024174","0.5675002517024174","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.5709303584791899","0.5709303584791899","0.5709303584791899","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.5823219070288842","0.5823219070288842","0.5823219070288842","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.5872266839959672","0.5872266839959672","0.5872266839959672","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.5894764828331093","0.5894764828331093","0.5894764828331093","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.5951519513141276","0.5951519513141276","0.5951519513141276","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.5949554862807872","0.5949554862807872","0.5949554862807872","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.5964777410366414","0.5964777410366414","0.5964777410366414","","","","","","","","","","","","","","","","","","","","","","","","","","",""
