"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc__MAX","exp_arch_001_resnet50 - train/acc","exp_arch_001_resnet50 - train/acc__MIN","exp_arch_001_resnet50 - train/acc__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/acc","exp_arch_009_efficientnet_b0_sapbert256 - train/acc__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/acc__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc__MAX"
"40","26.52633101851852","26.52633101851852","26.52633101851852","","","","","","","","","","","","","44.10284850823045","44.10284850823045","44.10284850823045","","","","","","","","","","","",""
"44","27.82439557613169","27.82439557613169","27.82439557613169","","","","","","","","","","","","","44.921875","44.921875","44.921875","","","","","","","","","","","",""
"48","28.681198559670783","28.681198559670783","28.681198559670783","","","","","","","","","","","","","45.50942001028807","45.50942001028807","45.50942001028807","","","","","","","","","","","",""
"52","29.95675797325103","29.95675797325103","29.95675797325103","","","","","","","","","","","","","46.14117155349794","46.14117155349794","46.14117155349794","","","","","","","","","","","",""
"56","30.816775977366255","30.816775977366255","30.816775977366255","","","","","","","","","","","","","46.90232767489712","46.90232767489712","46.90232767489712","","","","","","","","","","","",""
"60","31.779674639917694","31.779674639917694","31.779674639917694","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","32.662197788065846","32.662197788065846","32.662197788065846","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","33.287519290123456","33.287519290123456","33.287519290123456","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","34.09850823045267","34.09850823045267","34.09850823045267","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","34.895833333333336","34.895833333333336","34.895833333333336","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","35.07667824074074","35.07667824074074","35.07667824074074","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","35.78960905349794","35.78960905349794","35.78960905349794","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","36.08860596707819","36.08860596707819","36.08860596707819","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","36.46074459876543","36.46074459876543","36.46074459876543","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","36.6576646090535","36.6576646090535","36.6576646090535","","","","","","","","","","","","","","","","","","","","","","","","","","",""
